Order ID,Category,Platform,Quantity Sold,Selling Price,Date of Sale,Delivery Status,Delivery State
AMA-627368,Books,Amazon,7,692.75,2023-02-06,Cancelled,State-5
AMA-265200,Fashion,Amazon,9,415.82,2023-02-07,Cancelled,State-17
AMA-922715,Fashion,Amazon,8,385.85,2023-02-08,In Transit,State-27
AMA-251276,Fashion,Amazon,10,236.79,2023-02-09,Delivered,State-4
AMA-379927,Fashion,Amazon,7,982.04,2023-02-10,Cancelled,State-18
AMA-206626,Books,Amazon,5,285.60,2023-02-11,Delivered,State-24
AMA-863475,Accessories,Amazon,8,780.50,2023-02-12,Delivered,State-21
AMA-332000,Electronics,Amazon,2,408.13,2023-02-13,Delivered,State-19
AMA-699624,Books,Amazon,7,521.29,2023-02-14,Cancelled,State-13
AMA-234066,Books,Amazon,5,893.37,2023-02-15,In Transit,State-21
AMA-192425,Books,Amazon,3,217.80,2023-02-16,Delivered,State-11
AMA-704769,Electronics,Amazon,6,304.68,2023-02-17,In Transit,State-10
AMA-160444,Electronics,Amazon,8,349.13,2023-02-18,Delivered,State-2
AMA-599085,Accessories,Amazon,4,857.73,2023-02-19,In Transit,State-7
AMA-321861,Electronics,Amazon,7,270.80,2023-02-20,In Transit,State-7
AMA-321020,Electronics,Amazon,4,761.00,2023-02-21,Cancelled,State-17
AMA-586102,Electronics,Amazon,4,874.09,2023-02-22,Cancelled,State-3
AMA-750695,Electronics,Amazon,3,916.94,2023-02-23,In Transit,State-20
AMA-397123,Fashion,Amazon,1,912.55,2023-02-24,In Transit,State-13
AMA-942228,Books,Amazon,9,757.80,2023-02-25,In Transit,State-15
AMA-683552,Fashion,Amazon,1,856.77,2023-02-26,In Transit,State-17
AMA-914316,Books,Amazon,1,870.66,2023-02-27,Delivered,State-11
AMA-407361,Fashion,Amazon,1,629.30,2023-02-28,In Transit,State-17
AMA-906784,Fashion,Amazon,5,606.06,2023-03-01,Cancelled,State-27
AMA-470095,Accessories,Amazon,4,531.53,2023-03-02,In Transit,State-21
AMA-830715,Accessories,Amazon,3,615.91,2023-03-03,Cancelled,State-18
AMA-927571,Electronics,Amazon,6,242.22,2023-03-04,Cancelled,State-17
AMA-265842,Accessories,Amazon,7,850.38,2023-03-05,Cancelled,State-11
AMA-585585,Books,Amazon,1,354.81,2023-03-06,In Transit,State-7
AMA-984435,Accessories,Amazon,10,463.33,2023-03-07,Delivered,State-1
AMA-201886,Accessories,Amazon,5,794.44,2023-03-08,In Transit,State-30
AMA-900313,Accessories,Amazon,7,969.92,2023-03-09,Cancelled,State-18
AMA-695215,Fashion,Amazon,5,930.91,2023-03-10,Delivered,State-29
AMA-695215,Fashion,Amazon,5,930.91,2023-03-10,In Transit,State-22
AMA-672516,Books,Amazon,6,171.70,2023-03-11,Delivered,State-1
AMA-434699,Accessories,Amazon,4,890.79,2023-03-12,In Transit,State-11
AMA-733424,Fashion,Amazon,1,255.78,2023-03-13,Cancelled,State-24
AMA-775930,Electronics,Amazon,3,542.17,2023-03-14,In Transit,State-18
AMA-103499,Electronics,Amazon,10,279.18,2023-03-15,Cancelled,State-22
AMA-832107,Electronics,Amazon,2,476.51,2023-03-16,In Transit,State-5
AMA-847918,Accessories,Amazon,4,788.42,2023-03-17,Delivered,State-29
AMA-424044,Accessories,Amazon,8,227.35,2023-03-18,Cancelled,State-16
AMA-241708,Accessories,Amazon,10,191.29,2023-03-19,In Transit,State-29
AMA-106530,Electronics,Amazon,10,909.89,2023-03-20,In Transit,State-26
AMA-248470,Fashion,Amazon,4,181.54,2023-03-21,In Transit,State-13
AMA-422361,Books,Amazon,7,599.83,2023-03-22,Cancelled,State-11
AMA-422361,Books,Amazon,7,599.83,2023-03-22,Delivered,State-26
AMA-896155,Electronics,Amazon,2,961.28,2023-03-23,In Transit,State-16
AMA-414444,Books,Amazon,2,248.08,2023-03-24,In Transit,State-25
AMA-592787,Accessories,Amazon,7,583.39,2023-03-25,Delivered,State-30
AMA-310374,Electronics,Amazon,6,967.44,2023-03-26,Delivered,State-22
AMA-769513,Electronics,Amazon,5,777.21,2023-03-27,Delivered,State-6
AMA-314000,Fashion,Amazon,2,653.47,2023-03-28,Delivered,State-23
AMA-492838,Electronics,Amazon,6,132.57,2023-03-29,Delivered,State-6
AMA-232981,Books,Amazon,8,856.73,2023-03-30,Cancelled,State-10
AMA-484977,Electronics,Amazon,3,894.90,2023-03-31,Delivered,State-5
AMA-522658,Electronics,Amazon,9,662.34,2023-04-01,Delivered,State-22
AMA-483853,Accessories,Amazon,2,782.14,2023-04-02,Cancelled,State-4
AMA-612311,Electronics,Amazon,10,699.13,2023-04-03,In Transit,State-1
AMA-212514,Fashion,Amazon,7,335.96,2023-04-04,In Transit,State-14
AMA-856166,Electronics,Amazon,2,590.32,2023-04-05,Cancelled,State-14
AMA-391400,Fashion,Amazon,6,771.76,2023-04-06,Cancelled,State-3
AMA-415416,Electronics,Amazon,5,711.11,2023-04-07,In Transit,State-3
AMA-149657,Fashion,Amazon,1,970.20,2023-04-08,Delivered,State-27
AMA-955427,Electronics,Amazon,9,624.14,2023-04-09,Delivered,State-6
AMA-645119,Books,Amazon,2,852.54,2023-04-10,In Transit,State-2
AMA-212254,Electronics,Amazon,8,117.98,2023-04-11,In Transit,State-26
AMA-968855,Books,Amazon,5,133.66,2023-04-12,Cancelled,State-11
AMA-287624,Electronics,Amazon,9,712.53,2023-04-13,Delivered,State-7
AMA-932106,Accessories,Amazon,9,142.45,2023-04-14,Delivered,State-15
AMA-295041,Accessories,Amazon,9,955.97,2023-04-15,Cancelled,State-5
AMA-851215,Accessories,Amazon,3,563.97,2023-04-16,In Transit,State-20
AMA-244088,Electronics,Amazon,9,943.42,2023-04-17,Delivered,State-29
AMA-855039,Fashion,Amazon,9,363.96,2023-04-18,Delivered,State-19
AMA-932954,Books,Amazon,4,195.07,2023-04-19,Cancelled,State-14
AMA-680025,Accessories,Amazon,3,547.06,2023-04-20,Delivered,State-30
AMA-150632,Electronics,Amazon,2,756.08,2023-04-21,Delivered,State-19
AMA-532722,Accessories,Amazon,3,633.78,2023-04-22,In Transit,State-10
AMA-437581,Books,Amazon,6,820.54,2023-04-23,Delivered,State-9
AMA-275689,Accessories,Amazon,1,243.40,2023-04-24,Delivered,State-19
AMA-793469,Fashion,Amazon,4,684.15,2023-04-25,Delivered,State-25
AMA-391359,Electronics,Amazon,10,903.85,2023-04-26,Cancelled,State-25
AMA-273921,Accessories,Amazon,9,624.21,2023-04-27,Delivered,State-12
AMA-737508,Fashion,Amazon,5,864.62,2023-04-28,In Transit,State-12
AMA-494186,Accessories,Amazon,3,762.13,2023-04-29,Cancelled,State-23
AMA-707748,Fashion,Amazon,1,194.15,2023-04-30,Delivered,State-9
AMA-579444,Electronics,Amazon,3,632.31,2023-05-01,In Transit,State-11
AMA-476936,Electronics,Amazon,7,457.62,2023-05-02,In Transit,State-17
AMA-267850,Books,Amazon,7,903.45,2023-05-03,In Transit,State-21
AMA-946139,Electronics,Amazon,6,951.45,2023-05-04,Cancelled,State-2
AMA-241560,Books,Amazon,9,876.93,2023-05-05,Cancelled,State-2
AMA-741124,Books,Amazon,5,463.98,2023-05-06,Delivered,State-15
AMA-110889,Books,Amazon,1,456.88,2023-05-07,In Transit,State-14
AMA-525365,Accessories,Amazon,7,661.85,2023-05-08,Cancelled,State-16
AMA-187490,Books,Amazon,9,626.19,2023-05-09,Cancelled,State-30
AMA-628426,Books,Amazon,2,402.27,2023-05-10,Delivered,State-29
AMA-658697,Books,Amazon,8,612.35,2023-05-11,Cancelled,State-25
AMA-494098,Fashion,Amazon,8,434.97,2023-05-12,Delivered,State-26
AMA-652981,Electronics,Amazon,9,188.33,2023-05-13,In Transit,State-12
AMA-219932,Fashion,Amazon,10,244.09,2023-05-14,Cancelled,State-14
AMA-504831,Books,Amazon,10,164.58,2023-05-15,Cancelled,State-20
AMA-808813,Fashion,Amazon,9,549.16,2023-05-16,Delivered,State-7
AMA-265196,Books,Amazon,3,467.68,2023-05-17,Delivered,State-3
AMA-739531,Fashion,Amazon,3,660.35,2023-05-18,Delivered,State-27
AMA-474675,Fashion,Amazon,4,884.95,2023-05-19,In Transit,State-11
AMA-529331,Accessories,Amazon,4,751.46,2023-05-20,Delivered,State-29
AMA-188915,Accessories,Amazon,3,552.84,2023-05-21,Cancelled,State-22
AMA-823817,Accessories,Amazon,3,513.56,2023-05-22,Delivered,State-1
AMA-310587,Electronics,Amazon,10,947.09,2023-05-23,In Transit,State-23
AMA-702888,Fashion,Amazon,5,328.87,2023-05-24,Delivered,State-29
AMA-473534,Fashion,Amazon,10,840.55,2023-05-25,Cancelled,State-27
AMA-500822,Electronics,Amazon,2,512.14,2023-05-26,In Transit,State-18
AMA-787840,Books,Amazon,2,653.35,2023-05-27,Cancelled,State-5
AMA-391988,Accessories,Amazon,6,745.51,2023-05-28,Cancelled,State-13
AMA-979423,Electronics,Amazon,7,477.45,2023-05-29,In Transit,State-25
AMA-139766,Fashion,Amazon,2,122.06,2023-05-30,In Transit,State-3
AMA-568381,Accessories,Amazon,2,266.40,2023-05-31,In Transit,State-1
AMA-586151,Fashion,Amazon,9,172.32,2023-06-01,Cancelled,State-19
AMA-146407,Accessories,Amazon,4,668.05,2023-06-02,Cancelled,State-23
AMA-390692,Accessories,Amazon,4,452.75,2023-06-03,Cancelled,State-15
AMA-666875,Accessories,Amazon,10,411.91,2023-06-04,Delivered,State-22
AMA-921170,Fashion,Amazon,8,821.93,2023-06-05,Delivered,State-13
AMA-681881,Accessories,Amazon,3,903.45,2023-06-06,In Transit,State-2
AMA-671652,Electronics,Amazon,7,164.53,2023-06-07,Delivered,State-18
AMA-548844,Accessories,Amazon,2,868.30,2023-06-08,Delivered,State-24
AMA-970778,Fashion,Amazon,5,305.25,2023-06-09,In Transit,State-18
AMA-773295,Fashion,Amazon,5,766.44,2023-06-10,Delivered,State-27
AMA-248843,Accessories,Amazon,10,383.52,2023-06-11,In Transit,State-5
AMA-542688,Books,Amazon,1,107.74,2023-06-12,In Transit,State-3
AMA-998115,Books,Amazon,1,585.81,2023-06-13,Cancelled,State-11
AMA-543435,Electronics,Amazon,1,338.86,2023-06-14,In Transit,State-23
AMA-879122,Fashion,Amazon,6,530.50,2023-06-15,Delivered,State-10
AMA-675637,Electronics,Amazon,3,562.59,2023-06-16,Cancelled,State-10
AMA-379266,Accessories,Amazon,10,576.90,2023-06-17,Delivered,State-13
AMA-597503,Fashion,Amazon,3,579.12,2023-06-18,In Transit,State-8
AMA-103569,Fashion,Amazon,5,339.81,2023-06-19,In Transit,State-5
AMA-760010,Electronics,Amazon,1,337.69,2023-06-20,In Transit,State-20
AMA-170819,Electronics,Amazon,5,476.02,2023-06-21,Cancelled,State-26
AMA-710180,Fashion,Amazon,3,415.09,2023-06-22,Delivered,State-30
AMA-696022,Accessories,Amazon,1,942.71,2023-06-23,Delivered,State-23
AMA-863369,Fashion,Amazon,4,164.50,2023-06-24,Cancelled,State-23
AMA-100886,Books,Amazon,6,676.86,2023-06-25,Delivered,State-2
AMA-227062,Accessories,Amazon,1,157.26,2023-06-26,Delivered,State-15
AMA-387016,Electronics,Amazon,8,493.61,2023-06-27,Cancelled,State-20
AMA-485962,Fashion,Amazon,4,358.71,2023-06-28,Delivered,State-29
AMA-473538,Electronics,Amazon,8,806.18,2023-06-29,Delivered,State-25
AMA-299922,Electronics,Amazon,2,402.59,2023-06-30,In Transit,State-25
AMA-894428,Fashion,Amazon,4,536.27,2023-07-01,Delivered,State-13
AMA-906580,Fashion,Amazon,2,393.16,2023-07-02,Cancelled,State-28
AMA-465426,Fashion,Amazon,3,272.09,2023-07-03,Delivered,State-21
AMA-674693,Electronics,Amazon,9,515.27,2023-07-04,Cancelled,State-19
AMA-707063,Fashion,Amazon,6,307.78,2023-07-05,Delivered,State-24
AMA-288682,Books,Amazon,1,178.13,2023-07-06,In Transit,State-30
AMA-339707,Electronics,Amazon,6,443.44,2023-07-07,Delivered,State-25
AMA-729588,Books,Amazon,1,577.34,2023-07-08,Delivered,State-11
AMA-232008,Accessories,Amazon,9,490.35,2023-07-09,In Transit,State-18
AMA-860728,Accessories,Amazon,7,213.82,2023-07-10,In Transit,State-22
AMA-437459,Fashion,Amazon,8,652.61,2023-07-11,In Transit,State-4
AMA-496363,Electronics,Amazon,2,705.72,2023-07-12,Cancelled,State-20
AMA-785641,Accessories,Amazon,2,178.54,2023-07-13,Cancelled,State-24
AMA-566582,Electronics,Amazon,2,645.12,2023-07-14,Delivered,State-11
AMA-422670,Fashion,Amazon,5,485.78,2023-07-15,In Transit,State-10
AMA-867185,Books,Amazon,1,705.72,2023-07-16,Delivered,State-6
AMA-247865,Accessories,Amazon,9,249.48,2023-07-17,Delivered,State-2
AMA-692512,Fashion,Amazon,7,889.61,2023-07-18,Cancelled,State-25
AMA-877702,Fashion,Amazon,7,689.97,2023-07-19,Cancelled,State-6
AMA-122392,Fashion,Amazon,10,440.59,2023-07-20,Delivered,State-5
AMA-426362,Books,Amazon,1,491.57,2023-07-21,Cancelled,State-12
AMA-598808,Books,Amazon,5,163.08,2023-07-22,Cancelled,State-24
AMA-778894,Books,Amazon,4,501.58,2023-07-23,Delivered,State-22
AMA-471130,Fashion,Amazon,9,143.47,2023-07-24,Cancelled,State-10
AMA-426968,Fashion,Amazon,8,621.09,2023-07-25,In Transit,State-16
AMA-248851,Accessories,Amazon,1,945.56,2023-07-26,In Transit,State-20
AMA-703587,Fashion,Amazon,3,349.58,2023-07-27,In Transit,State-11
AMA-492647,Fashion,Amazon,6,529.47,2023-07-28,Cancelled,State-30
AMA-516596,Accessories,Amazon,2,204.76,2023-07-29,Delivered,State-15
AMA-836716,Accessories,Amazon,7,219.06,2023-07-30,In Transit,State-19
AMA-807383,Electronics,Amazon,4,200.92,2023-07-31,Delivered,State-10
AMA-759730,Accessories,Amazon,3,701.99,2023-08-01,Cancelled,State-4
AMA-781244,Electronics,Amazon,9,113.05,2023-08-02,In Transit,State-9
AMA-535890,Fashion,Amazon,3,176.16,2023-08-03,Delivered,State-3
AMA-812487,Fashion,Amazon,1,366.11,2023-08-04,Cancelled,State-17
AMA-109430,Accessories,Amazon,2,577.66,2023-08-05,Delivered,State-29
AMA-538941,Books,Amazon,10,367.71,2023-08-06,Cancelled,State-28
AMA-128589,Electronics,Amazon,3,330.76,2023-08-07,In Transit,State-23
AMA-993238,Accessories,Amazon,6,550.33,2023-08-08,Delivered,State-20
AMA-750774,Fashion,Amazon,9,774.60,2023-08-09,Delivered,State-12
AMA-945048,Books,Amazon,1,501.98,2023-08-10,Cancelled,State-14
AMA-942368,Books,Amazon,9,127.12,2023-08-11,In Transit,State-5
AMA-175455,Fashion,Amazon,9,828.55,2023-08-12,In Transit,State-23
AMA-257530,Electronics,Amazon,8,530.57,2023-08-13,Cancelled,State-9
AMA-454995,Accessories,Amazon,2,520.45,2023-08-14,Delivered,State-18
AMA-888979,Accessories,Amazon,10,361.44,2023-08-15,Cancelled,State-30
AMA-551893,Books,Amazon,1,231.96,2023-08-16,Delivered,State-6
AMA-717944,Electronics,Amazon,2,120.34,2023-08-17,Delivered,State-4
AMA-842755,Books,Amazon,10,463.67,2023-08-18,Cancelled,State-2
AMA-772430,Fashion,Amazon,5,328.83,2023-08-19,Delivered,State-9
AMA-891608,Electronics,Amazon,2,301.39,2023-08-20,In Transit,State-2
AMA-166766,Electronics,Amazon,1,241.30,2023-08-21,Delivered,State-12
AMA-705976,Electronics,Amazon,6,255.01,2023-08-22,Cancelled,State-9
AMA-837996,Accessories,Amazon,7,910.82,2023-08-23,Delivered,State-18
AMA-552730,Accessories,Amazon,5,930.79,2023-08-24,In Transit,State-17
AMA-509804,Fashion,Amazon,3,946.29,2023-08-25,Delivered,State-10
AMA-894321,Books,Amazon,10,989.04,2023-08-26,Delivered,State-4
AMA-739047,Fashion,Amazon,8,521.00,2023-08-27,Cancelled,State-3
AMA-280541,Fashion,Amazon,6,970.24,2023-08-28,Cancelled,State-18
AMA-752561,Books,Amazon,4,258.58,2023-08-29,Cancelled,State-23
AMA-785392,Electronics,Amazon,3,298.63,2023-08-30,Cancelled,State-2
AMA-823707,Accessories,Amazon,9,431.96,2023-08-31,In Transit,State-5
AMA-525687,Accessories,Amazon,8,987.94,2023-09-01,Delivered,State-24
AMA-513053,Accessories,Amazon,8,741.69,2023-09-02,In Transit,State-28
AMA-591808,Electronics,Amazon,9,860.72,2023-09-03,In Transit,State-12
AMA-282972,Electronics,Amazon,1,442.33,2023-09-04,In Transit,State-2
AMA-603945,Books,Amazon,7,931.92,2023-09-05,In Transit,State-17
AMA-167926,Electronics,Amazon,8,762.28,2023-09-06,Cancelled,State-2
AMA-608622,Fashion,Amazon,2,860.09,2023-09-07,In Transit,State-29
AMA-142798,Electronics,Amazon,5,873.24,2023-09-08,Delivered,State-2
AMA-583187,Books,Amazon,9,374.71,2023-09-09,Cancelled,State-8
AMA-398342,Books,Amazon,10,905.74,2023-09-10,Delivered,State-30
AMA-406138,Books,Amazon,5,730.94,2023-09-11,Delivered,State-28
AMA-430779,Books,Amazon,4,432.92,2023-09-12,Cancelled,State-26
AMA-586798,Books,Amazon,7,884.85,2023-09-13,Cancelled,State-21
AMA-800972,Accessories,Amazon,7,325.42,2023-09-14,Cancelled,State-9
AMA-745706,Accessories,Amazon,3,181.35,2023-09-15,Delivered,State-25
AMA-996627,Accessories,Amazon,8,391.58,2023-09-16,Cancelled,State-11
AMA-834117,Accessories,Amazon,4,198.70,2023-09-17,Cancelled,State-27
AMA-214890,Accessories,Amazon,10,828.93,2023-09-18,In Transit,State-18
AMA-914333,Fashion,Amazon,10,718.31,2023-09-19,In Transit,State-6
AMA-541859,Books,Amazon,4,123.10,2023-09-20,Delivered,State-11
AMA-665149,Fashion,Amazon,3,290.90,2023-09-21,Delivered,State-18
AMA-980849,Fashion,Amazon,2,651.38,2023-09-22,Delivered,State-13
AMA-135969,Electronics,Amazon,8,178.75,2023-09-23,In Transit,State-14
AMA-513421,Books,Amazon,4,710.12,2023-09-24,Delivered,State-20
AMA-430072,Fashion,Amazon,2,168.95,2023-09-25,Delivered,State-16
AMA-249009,Books,Amazon,1,301.30,2023-09-26,In Transit,State-11
AMA-397870,Fashion,Amazon,6,237.26,2023-09-27,In Transit,State-5
AMA-438258,Electronics,Amazon,10,686.50,2023-09-28,Delivered,State-27
AMA-185590,Accessories,Amazon,6,203.06,2023-09-29,Delivered,State-18
AMA-358975,Fashion,Amazon,6,928.77,2023-09-30,Delivered,State-4
AMA-537830,Fashion,Amazon,1,316.17,2023-10-01,Cancelled,State-22
AMA-427656,Electronics,Amazon,1,905.81,2023-10-02,In Transit,State-29
AMA-999971,Electronics,Amazon,9,400.60,2023-10-03,In Transit,State-22
AMA-624115,Fashion,Amazon,8,464.52,2023-10-04,In Transit,State-20
AMA-236713,Books,Amazon,4,420.42,2023-10-05,Delivered,State-30
AMA-512922,Electronics,Amazon,3,488.47,2023-10-06,Cancelled,State-5
AMA-124453,Fashion,Amazon,6,944.51,2023-10-07,Delivered,State-3
AMA-784835,Electronics,Amazon,5,638.27,2023-10-08,In Transit,State-24
AMA-855021,Accessories,Amazon,1,862.88,2023-10-09,Cancelled,State-19
AMA-232379,Fashion,Amazon,6,974.00,2023-10-10,Delivered,State-10
AMA-149118,Fashion,Amazon,7,627.70,2023-10-11,Cancelled,State-8
AMA-640822,Fashion,Amazon,6,727.92,2023-10-12,In Transit,State-18
AMA-979322,Electronics,Amazon,5,352.13,2023-10-13,In Transit,State-10
AMA-199181,Fashion,Amazon,1,144.29,2023-10-14,Delivered,State-18
AMA-274283,Electronics,Amazon,1,443.30,2023-10-15,In Transit,State-30
AMA-990976,Electronics,Amazon,2,537.61,2023-10-16,Cancelled,State-2
AMA-605407,Electronics,Amazon,2,311.99,2023-10-17,Delivered,State-28
AMA-319181,Electronics,Amazon,10,756.44,2023-10-18,Cancelled,State-14
AMA-786735,Books,Amazon,7,940.07,2023-10-19,Cancelled,State-20
AMA-567345,Fashion,Amazon,1,361.81,2023-10-20,Delivered,State-25
AMA-517605,Books,Amazon,10,987.88,2023-10-21,Delivered,State-8
AMA-919494,Fashion,Amazon,7,709.05,2023-10-22,Cancelled,State-6
AMA-455401,Fashion,Amazon,2,894.62,2023-10-23,Cancelled,State-3
AMA-997784,Accessories,Amazon,9,502.71,2023-10-24,Cancelled,State-2
AMA-767199,Accessories,Amazon,4,687.94,2023-10-25,Delivered,State-23
AMA-714353,Books,Amazon,4,979.32,2023-10-26,In Transit,State-13
AMA-565979,Books,Amazon,3,763.52,2023-10-27,Delivered,State-28
AMA-342280,Electronics,Amazon,4,419.83,2023-10-28,Delivered,State-7
AMA-466455,Electronics,Amazon,6,531.96,2023-10-29,Cancelled,State-8
AMA-296634,Fashion,Amazon,10,565.59,2023-10-30,In Transit,State-16
AMA-608331,Fashion,Amazon,6,299.99,2023-10-31,Cancelled,State-5
AMA-797332,Fashion,Amazon,9,531.96,2023-11-01,Delivered,State-13
AMA-651167,Electronics,Amazon,8,202.23,2023-11-02,In Transit,State-9
AMA-474014,Electronics,Amazon,7,970.75,2023-11-03,In Transit,State-30
AMA-600775,Electronics,Amazon,1,940.08,2023-11-04,Delivered,State-11
AMA-413337,Fashion,Amazon,5,830.40,2023-11-05,Delivered,State-11
AMA-207176,Books,Amazon,9,395.50,2023-11-06,In Transit,State-27
AMA-751763,Accessories,Amazon,6,932.17,2023-11-07,Delivered,State-19
AMA-375236,Electronics,Amazon,4,443.91,2023-11-08,Cancelled,State-17
AMA-292243,Electronics,Amazon,5,978.62,2023-11-09,Cancelled,State-29
AMA-807555,Electronics,Amazon,10,584.57,2023-11-10,Cancelled,State-18
AMA-243134,Books,Amazon,7,234.05,2023-11-11,In Transit,State-14
AMA-467055,Books,Amazon,4,516.14,2023-11-12,In Transit,State-6
AMA-658174,Books,Amazon,2,103.06,2023-11-13,Delivered,State-26
AMA-502138,Electronics,Amazon,1,933.02,2023-11-14,Delivered,State-5
AMA-333094,Fashion,Amazon,5,783.54,2023-11-15,Delivered,State-19
AMA-679316,Electronics,Amazon,3,337.78,2023-11-16,Cancelled,State-12
AMA-376976,Books,Amazon,7,922.55,2023-11-17,Delivered,State-17
AMA-935672,Accessories,Amazon,3,392.25,2023-11-18,Delivered,State-30
AMA-245409,Electronics,Amazon,2,238.94,2023-11-19,In Transit,State-27
AMA-353645,Accessories,Amazon,1,705.35,2023-11-20,Delivered,State-17
AMA-318957,Electronics,Amazon,7,620.24,2023-11-21,In Transit,State-17
AMA-235085,Accessories,Amazon,8,723.65,2023-11-22,In Transit,State-14
AMA-149907,Fashion,Amazon,8,873.72,2023-11-23,Cancelled,State-2
AMA-799444,Fashion,Amazon,4,349.27,2023-11-24,Delivered,State-1
AMA-268990,Electronics,Amazon,6,271.34,2023-11-25,Delivered,State-10
AMA-938120,Electronics,Amazon,8,480.96,2023-11-26,Delivered,State-3
AMA-408816,Electronics,Amazon,1,149.05,2023-11-27,Delivered,State-6
AMA-879127,Books,Amazon,4,334.11,2023-11-28,In Transit,State-9
AMA-770743,Books,Amazon,2,869.92,2023-11-29,In Transit,State-17
AMA-336683,Electronics,Amazon,4,386.35,2023-11-30,In Transit,State-13
AMA-508333,Electronics,Amazon,10,266.38,2023-12-01,In Transit,State-5
AMA-256765,Fashion,Amazon,10,796.43,2023-12-02,Delivered,State-5
AMA-739001,Accessories,Amazon,5,809.61,2023-12-03,In Transit,State-14
AMA-131785,Books,Amazon,4,616.43,2023-12-04,Cancelled,State-7
AMA-783120,Accessories,Amazon,8,936.68,2023-12-05,In Transit,State-7
AMA-140937,Books,Amazon,7,721.31,2023-12-06,Delivered,State-12
AMA-289574,Electronics,Amazon,10,797.19,2023-12-07,Cancelled,State-28
AMA-215850,Accessories,Amazon,1,351.92,2023-12-08,Delivered,State-18
AMA-476089,Books,Amazon,10,637.10,2023-12-09,Delivered,State-19
AMA-986423,Fashion,Amazon,3,511.04,2023-12-10,In Transit,State-9
AMA-255620,Accessories,Amazon,5,920.16,2023-12-11,Delivered,State-1
AMA-859593,Accessories,Amazon,8,548.05,2023-12-12,Cancelled,State-18
AMA-928433,Electronics,Amazon,6,597.56,2023-12-13,Delivered,State-10
AMA-965667,Fashion,Amazon,7,825.23,2023-12-14,Cancelled,State-7
AMA-230095,Books,Amazon,8,709.33,2023-12-15,Delivered,State-5
AMA-765742,Fashion,Amazon,6,209.64,2023-12-16,Cancelled,State-20
AMA-419525,Electronics,Amazon,9,384.42,2023-12-17,Cancelled,State-8
AMA-225014,Fashion,Amazon,10,934.56,2023-12-18,Cancelled,State-3
AMA-201525,Fashion,Amazon,9,927.75,2023-12-19,Cancelled,State-13
AMA-523510,Accessories,Amazon,7,739.97,2023-12-20,Cancelled,State-25
AMA-434608,Fashion,Amazon,7,711.50,2023-12-21,Delivered,State-16
